NU_ANO_CENSO,NO_REGIAO,uf,cod_municipio,nome_municipio,localizacao,dependencia_adm,1_CAT_FUN,1_CAT_FUN_AI,1_CAT_FUN_AF,1_CAT_FUN_01,1_CAT_FUN_02,1_CAT_FUN_03,1_CAT_FUN_04,1_CAT_FUN_05,1_CAT_FUN_06,1_CAT_FUN_07,1_CAT_FUN_08,1_CAT_FUN_09,1_CAT_MED,1_CAT_MED_01,1_CAT_MED_02,1_CAT_MED_03,1_CAT_MED_04,1_CAT_MED_NS,reprov_fund_total,reprov_fund_anos_iniciais,reprov_fund_anos_finais,2_CAT_FUN_01,2_CAT_FUN_02,2_CAT_FUN_03,2_CAT_FUN_04,2_CAT_FUN_05,2_CAT_FUN_06,2_CAT_FUN_07,2_CAT_FUN_08,2_CAT_FUN_09,reprov_med_total,reprov_med_1serie,reprov_med_2serie,reprov_med_3serie,2_CAT_MED_04,2_CAT_MED_NS,abandono_fund_total,abandono_fund_anos_iniciais,abandono_fund_anos_finais,3_CAT_FUN_01,3_CAT_FUN_02,3_CAT_FUN_03,3_CAT_FUN_04,3_CAT_FUN_05,3_CAT_FUN_06,3_CAT_FUN_07,3_CAT_FUN_08,3_CAT_FUN_09,abandono_med_total,abandono_med_1serie,abandono_med_2serie,abandono_med_3serie,3_CAT_MED_04,3_CAT_MED_NS,abandono_geral,pct_internet,pct_internet_alunos,pct_banda_larga,pct_biblioteca,pct_sala_leitura,pct_lab_ciencias,pct_lab_informatica,pct_quadra,pct_energia_rede,pct_sem_energia,pct_agua_potavel,pct_sem_agua,pct_esgoto_rede,pct_sem_esgoto,pct_banheiro,pct_banheiro_acessivel,pct_alimentacao,pct_sem_acessibilidade,pct_computador,qt_salas_media,n_escolas,risco_evasao
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Total,Total,96.8,97.1,96.5,98.5,98.7,94.1,97.4,96.9,94.9,97.1,95.2,98.8,97.2,94,98.7,100,--,--,3.1,2.9,3.3,1.5,1.3,5.9,2.6,3.1,4.8,2.6,4.8,0.9,2.4,5.5,0.8,0.0,--,--,0.1,0.0,0.2,0,0,0,0,0,0.3,0.3,0,0.3,0.4,0.5,0.5,0.0,--,--,0.25,85.71428571428571,32.142857142857146,33.33333333333333,32.142857142857146,35.714285714285715,7.142857142857142,17.857142857142858,50.0,78.57142857142857,7.142857142857142,100.0,0.0,0.0,0.0,92.85714285714286,35.714285714285715,100.0,53.57142857142857,75.0,7.964285714285714,32.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Total,97.1,96.8,97.4,98.2,98.6,92.3,97.3,98.4,95.4,98.8,96.5,98.7,97.2,94.1,98.6,100,--,--,2.8,3.2,2.3,1.8,1.4,7.7,2.7,1.6,4.2,0.8,3.5,0.9,2.3,5.3,0.8,0.0,--,--,0.1,0.0,0.3,0,0,0,0,0,0.4,0.4,0,0.4,0.5,0.6,0.6,0.0,--,--,0.3,100.0,58.333333333333336,58.333333333333336,41.66666666666667,41.66666666666667,16.666666666666664,41.66666666666667,41.66666666666667,91.66666666666666,0.0,100.0,0.0,0.0,0.0,100.0,66.66666666666666,100.0,8.333333333333332,100.0,11.5,12.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Total,96.3,97.6,94.9,99.1,99.1,97,97.5,94.4,93.9,94,93.1,99.1,97.1,92.9,100,100,--,--,3.7,2.4,5.1,0.9,0.9,3,2.5,5.6,6.1,6,6.9,0.9,2.9,7.1,0.0,0.0,--,--,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,--,--,0.0,75.0,12.5,8.333333333333332,25.0,31.25,0.0,0.0,56.25,68.75,12.5,100.0,0.0,0.0,0.0,87.5,12.5,100.0,87.5,56.25,5.3125,20.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Total,Estadual,97.1,96.3,97.2,100,100,100,91.4,92.3,95.3,98.2,96.4,98.8,97.2,94,98.7,100,--,--,2.6,3.7,2.5,0,0,0,8.6,7.7,4.3,1.5,3.6,0.8,2.4,5.5,0.8,0.0,--,--,0.3,0.0,0.3,0,0,0,0,0,0.4,0.3,0,0.4,0.4,0.5,0.5,0.0,--,--,0.35,75.0,50.0,44.44444444444444,41.66666666666667,41.66666666666667,16.666666666666664,41.66666666666667,41.66666666666667,58.333333333333336,16.666666666666664,100.0,0.0,0.0,0.0,83.33333333333334,41.66666666666667,100.0,58.333333333333336,41.66666666666667,8.833333333333334,12.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Estadual,97.4,--,97.4,--,--,--,--,--,95.4,98.8,96.5,98.7,97.2,94.1,98.6,100,--,--,2.3,,2.3,--,--,--,--,--,4.2,0.8,3.5,0.9,2.3,5.3,0.8,0.0,--,--,0.3,,0.3,--,--,--,--,--,0.4,0.4,0,0.4,0.5,0.6,0.6,0.0,--,--,0.4,100.0,100.0,80.0,100.0,100.0,40.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,17.4,5.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Estadual,96,96.3,95.6,100,100,100,91.4,92.3,94.1,92.3,95.8,100,97.1,92.9,100,100,--,--,4.0,3.7,4.4,0,0,0,8.6,7.7,5.9,7.7,4.2,0,2.9,7.1,0.0,0.0,--,--,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,--,--,0.0,57.14285714285714,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,28.57142857142857,100.0,0.0,0.0,0.0,71.42857142857143,0.0,100.0,100.0,0.0,2.7142857142857144,7.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Total,Municipal,96.6,97.1,94.8,98.5,98.7,93.5,98.1,97.3,93.9,94.4,92.5,98.9,--,--,--,--,--,--,3.4,2.9,5.2,1.5,1.3,6.5,1.9,2.7,6.1,5.6,7.5,1.1,,,,,--,--,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,,,--,--,0.0,93.33333333333333,13.333333333333334,28.57142857142857,26.666666666666668,33.33333333333333,0.0,0.0,60.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,26.666666666666668,100.0,53.333333333333336,100.0,7.2,19.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Municipal,96.8,96.8,--,98.2,98.6,92.3,97.3,98.4,--,--,--,--,--,--,--,--,--,--,3.2,3.2,,1.8,1.4,7.7,2.7,1.6,--,--,--,--,,,,,--,--,0.0,0.0,,0,0,0,0,0,--,--,--,--,,,,,--,--,0.0,100.0,16.666666666666664,50.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,33.33333333333333,100.0,16.666666666666664,100.0,7.0,6.0,0
2024,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Municipal,96.4,98,94.8,99,98.9,96.2,100,94.8,93.9,94.4,92.5,98.9,--,--,--,--,--,--,3.6,2.0,5.2,1,1.1,3.8,0,5.2,6.1,5.6,7.5,1.1,,,,,--,--,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,,,--,--,0.0,88.88888888888889,11.11111111111111,12.5,44.44444444444444,55.55555555555556,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,22.22222222222222,100.0,77.77777777777779,100.0,7.333333333333333,13.0,0
2024,Norte,RO,1100023,Ariquemes,Total,Total,94.9,94.5,95.4,98.6,91.7,91.8,94.8,95.5,96.9,95.6,95.3,94,89.8,84.5,93,92.4,--,--,4.2,5.3,2.9,1.4,8.1,8.1,5,4.2,2.4,2.9,3.2,3,5.2,9.1,3.0,3.0,--,--,0.9,0.2,1.7,0,0.2,0.1,0.2,0.3,0.7,1.5,1.5,3,5.0,6.4,4.0,4.6,--,--,2.95,100.0,74.07407407407408,87.03703703703704,61.111111111111114,68.51851851851852,24.074074074074073,77.77777777777779,61.111111111111114,100.0,0.0,100.0,0.0,5.555555555555555,0.0,100.0,83.33333333333334,83.33333333333334,3.7037037037037033,100.0,13.0,59.0,1
