reprov_fund_total,reprov_fund_anos_finais,reprov_med_total,reprov_med_1serie,pct_internet,pct_biblioteca,pct_lab_informatica,pct_quadra,pct_agua_potavel,pct_sem_esgoto,pct_sem_acessibilidade,pct_alimentacao,qt_salas_media,localizacao,dependencia_adm
0.0,0.0,,,100.0,0.0,40.0,80.0,100.0,0.0,0.0,100.0,6.6,Rural,Municipal
5.6,7.1,,,100.0,0.0,21.428571428571427,28.57142857142857,100.0,0.0,42.85714285714285,100.0,8.428571428571429,Urbana,Municipal
0.0,0.0,,,100.0,66.66666666666666,0.0,0.0,100.0,0.0,33.33333333333333,33.33333333333333,6.666666666666667,Urbana,Privada
,,13.1,21.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,11.0,Total,Federal
,,1.8,2.2,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,9.5,Urbana,Estadual
,,2.0,2.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,19.33333333333333,Total,Estadual
,,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,6.0,Total,Estadual
3.5,4.4,1.4,2.3,100.0,70.83333333333334,16.666666666666664,22.916666666666664,100.0,0.0,12.5,52.083333333333336,8.583333333333334,Urbana,Total
0.0,,,,100.0,0.0,33.33333333333333,0.0,100.0,0.0,66.66666666666666,100.0,10.0,Total,Municipal
0.0,0.0,,,100.0,50.0,100.0,100.0,100.0,0.0,0.0,100.0,6.0,Rural,Estadual
0.0,0.0,0.0,0.0,100.0,25.0,25.0,25.0,100.0,0.0,0.0,75.0,6.0,Urbana,Privada
6.7,8.9,9.3,14.1,100.0,57.14285714285714,100.0,57.14285714285714,100.0,0.0,0.0,100.0,8.285714285714286,Total,Estadual
1.7,2.7,2.0,5.4,100.0,66.66666666666666,33.33333333333333,66.66666666666666,100.0,0.0,0.0,100.0,6.333333333333333,Urbana,Total
6.1,6.8,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,12.0,Rural,Privada
,,6.2,17.2,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,19.0,Total,Federal
12.5,12.5,1.8,0.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,17.0,Urbana,Estadual
15.2,20.4,,,100.0,42.85714285714285,42.85714285714285,42.85714285714285,100.0,0.0,0.0,100.0,9.142857142857142,Urbana,Municipal
6.2,,,,100.0,50.0,50.0,0.0,100.0,0.0,0.0,50.0,5.5,Urbana,Privada
1.4,3.3,5.6,10.0,100.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,100.0,8.333333333333334,Urbana,Total
3.2,5.2,4.7,3.3,100.0,33.33333333333333,66.66666666666666,33.33333333333333,100.0,0.0,0.0,100.0,7.0,Urbana,Total
9.4,7.8,2.3,0.0,100.0,9.090909090909092,9.090909090909092,27.27272727272727,18.181818181818183,0.0,9.090909090909092,100.0,5.545454545454546,Rural,Total
