reprov_fund_total,reprov_fund_anos_finais,reprov_med_total,reprov_med_1serie,pct_internet,pct_biblioteca,pct_lab_informatica,pct_quadra,pct_agua_potavel,pct_sem_esgoto,pct_sem_acessibilidade,pct_alimentacao,qt_salas_media,localizacao,dependencia_adm
35.5,38.0,42.1,45.0,0.0,0.0,0.0,10.0,30.0,95.0,100.0,20.0,3.5,Rural,Municipal
40.0,41.5,39.0,48.0,5.0,0.0,0.0,0.0,25.0,100.0,90.0,15.0,2.0,Rural,Estadual
38.2,45.0,44.0,50.0,0.0,10.0,0.0,5.0,40.0,85.0,95.0,30.0,4.0,Rural,Municipal
30.0,35.0,40.0,42.0,10.0,5.0,0.0,0.0,20.0,90.0,100.0,10.0,3.0,Rural,Municipal
45.0,48.0,50.0,55.0,0.0,0.0,0.0,0.0,10.0,100.0,100.0,5.0,1.5,Rural,Estadual
33.0,36.5,38.0,41.0,2.0,0.0,0.0,15.0,45.0,80.0,85.0,25.0,5.0,Rural,Municipal
42.0,44.0,47.0,52.0,0.0,0.0,0.0,0.0,15.0,95.0,100.0,0.0,2.5,Rural,Municipal
37.5,39.0,41.5,46.0,8.0,0.0,0.0,5.0,35.0,88.0,92.0,20.0,3.5,Rural,Estadual
39.0,42.0,45.0,49.0,0.0,0.0,0.0,0.0,5.0,100.0,100.0,10.0,2.0,Rural,Municipal
41.0,46.0,48.0,53.0,0.0,5.0,0.0,0.0,20.0,90.0,95.0,15.0,3.0,Rural,Municipal
